name,owners_with_asset_in_project,percent_of_owners_with_asset_in_project,percent_owned,project_floor,total_assets_owned,total_project_floor,total_num_owners,total_supply
Robopets,31,3.42,0.86,0.14,69,9.66,3972,8017.0
The Wanderers,39,4.3,0.84,0.3,75,22.5,4241,8888.0
Tom Sachs: ROCKET FACTORY PATCHES,40,4.41,0.79,0.0,48,0.0,5826,6083.0
Boobles by Sabre,1,0.11,0.04,0.0,2,0.0,1279,5000.0
Pit Boss Billionaires,1,0.11,0.2,0.265,1,0.265,230,500.0
adreamwithinadream,1,0.11,1.02,0.3536256,1,0.3536256,62,98.0
Fan Controlled Football: The Ballerz Collective - 8OKI,7,0.77,0.48,0.07,20,1.4000000000000001,1090,4144.0
The Image is The Utility,3,0.33,300.0,0.105,3,0.315,295,1.0
Ash Chapter One: Carbon,9,0.99,1.53,4.86,13,63.18000000000001,724,852.0
thr33zi3s,1,0.11,1.0,3.33,1,3.33,74,100.0
Fake Internet Money by Steve Pikelny,12,1.32,2.0,0.25,20,5.0,520,1000.0
Calendart by steen & n-e-o,4,0.44,3.01,0.12,11,1.3199999999999998,236,365.0
Token Hash,3,0.33,0.3,0.0,3,0.0,384,1000.0
postcards from paradise,7,0.77,1.33,0.08,9,0.72,596,676.0
888 Inner Circle The Drops,45,4.96,2.31,0.01,167,1.67,7074,7233.0
888 inner circle,23,2.54,2300.0,0.47,23,10.809999999999999,2526,1.0
PrimiLife by wuwa,4,0.44,0.39,0.04,4,0.16,606,1024.0
ACK EDITIONS,4,0.44,66.67,1.75,8,14.0,99,12.0
Crazy Crows Chess Club,5,0.55,0.17,0.01,14,0.14,1958,8193.0
Tom Sachs Rocket Factory,28,3.09,5.32,2.2,97,213.4,578,1824.0
GRILLZ GANG OG BADGE,2,0.22,0.36,0.18,2,0.36,427,555.0
Proof of Work V1,3,0.33,13.51,1.8,5,9.0,19,37.0
CryptoArte,79,8.71,1.9,0.09,188,16.919999999999998,3497,9894.0
Shadow Quest,9,0.99,0.2,0.14,20,2.8000000000000003,604,9996.0
REFLECTIONS NFT by Rich Simmons,5,0.55,0.21,0.05,7,0.35000000000000003,1883,3333.0
Meta Angels NFT,15,1.65,0.36,0.23,36,8.280000000000001,4420,10000.0
Floadmaps,17,1.87,177.78,0.0,32,0.0,3022,18.0
The Other Avatars by Saatchi Art,24,2.65,2.18,0.02,55,1.1,1310,2523.0
EnterDAO Sharded Minds,20,2.21,1.72,0.09,86,7.739999999999999,1580,5000.0
Patchwork Kingdoms,7,0.77,0.7,0.09,7,0.63,561,1000.0
Analog Summer,9,0.99,2.84,0.07,35,2.45,571,1234.0
Interleave Productions,9,0.99,900.0,0.01,9,0.09,1029,1.0
The 8102 Factory,2,0.22,200.0,0.04,2,0.08,473,1.0
Flipmap,17,1.87,0.43,0.01,36,0.36,2965,8300.0
Song A Day,17,1.87,2.15,0.08,93,7.44,1615,4330.0
Nebula 41,4,0.44,2.03,0.1,5,0.5,200,246.0
Interleave Genesis,12,1.32,1.28,0.08,109,8.72,2362,8547.0
Fox Game Official,3,0.33,0.05,0.0,10,0.0,1092,18538.0
Crypts and Caverns,6,0.66,0.77,0.14,68,9.520000000000001,1252,8784.0
MojoHeads,2,0.22,0.57,0.2,6,1.2000000000000002,363,1049.0
Toddlerpillars,4,0.44,1.44,0.03,144,4.32,3371,9998.0
Curious Addys' Trading Club,11,1.21,0.36,0.2,18,3.6,2192,5000.0
The Rusty Keys,2,0.22,0.58,0.03,2,0.06,334,347.0
Diamond Crypto Dunks,2,0.22,0.1,0.11,4,0.44,1668,4200.0
The Trailers,4,0.44,1.41,0.04,16,0.64,507,1137.0
DEAD LINK,2,0.22,0.23,1.0,2,2.0,540,875.0
Brush Strokes by 0xCulture,5,0.55,0.9,0.01,10,0.1,665,1111.0
Nifty League Launch Comics,11,1.21,800.0,0.03,32,0.96,3075,4.0
bunnybuds,1,0.11,0.33,0.005,3,0.015,207,919.0
Lady KILLAz,2,0.22,0.11,0.01,11,0.11,3114,9971.0
Non-Fungible Forks #ForkHunger,4,0.44,0.16,0.01,4,0.04,1881,2427.0
Terra Nullius V2,8,0.88,0.35,0.02,14,0.28,1380,4000.0
