Project,PROOF Owners Holding,% PROOF Members Holding,% Project Held by PROOF Members,Project Floor,Total NFTs Held by PROOF Members,Total Value Held (ETH),Total Owners,Total Supply
The Wicked Stallions,11,1,0.3,0,25,0.3,"3,187","9,814"
Shabu Town Shibas,11,1,1.3,0,131,1.2,"3,096","10,000"
OnChainTarzan,11,1,0.6,0,46,0,"2,826","7,682"
My Fucking Pickle,11,1,0.2,0,24,0.6,"2,767","10,000"
OpenPalette,11,1,0.3,0,28,0.2,"2,753","9,902"
PEACEFUL GROUPIES,11,1,0.3,0.3,29,9.6,"2,680","9,999"
STAXX Invaders,11,1,0.4,0,39,1.3,"2,676","10,500"
Gear (for Punks),11,1,0.4,0,29,0,"2,644","7,777"
Cryptovoxels Names,11,1,0.1,0,13,0,"2,579","9,493"
lootprints (for MoonCats),11,1,0.3,0.1,29,2,"2,365","11,718"
Crowdfunded Mirror Editions,11,1,0.4,0.1,11,1,"2,365","2,760"
3DBears,11,1,0.6,0.1,34,2,"2,354","6,084"
Crash Test Joyride,11,1,0.9,0.1,41,3.7,"2,218","4,444"
Hashes,11,1,0.6,0,23,0,"2,107","3,869"
Ready Player Cat NFT,11,1,0.4,0.1,18,1.8,"2,088","4,950"
Superlocal Early Access Pass,11,1,0.5,0,37,0,"1,910","6,877"
AI42 Loops,11,1,0.8,0,40,0.2,"1,832","5,346"
4096nft,11,1,2.6,0,71,0.1,"1,809","2,711"
Mutant Floki by Will Jack,11,1,1.2,0.1,49,5.7,"1,785","4,199"
Ape-In Productions,11,1,,0.3,11,2.8,"1,584",1
Solarbots.io,11,1,1.3,0.1,517,59.5,"1,521","38,708"
DigiRocks,11,1,1.3,0,28,0.9,"1,324","2,148"
XTOADZ Collection,11,1,3.1,0,104,0.6,"1,244","3,333"
AnimeTracks,11,1,5.1,0,135,2.7,"1,095","2,651"
Async Art,11,1,0.6,0,21,0.4,"1,062","3,752"
dGenesis dGen Automatons,11,1,0.6,0,22,0.1,"1,027","4,000"
//CreativeWorkStudios.,11,1,,0.6,12,6.6,981,5
AnimightiesJigScene,11,1,12.4,0,22,0.2,978,177
