Project,PROOF Owners Holding,% PROOF Members Holding,% Project Held by PROOF Members,Project Floor,Total NFTs Held by PROOF Members,Total Value Held (ETH),Total Owners,Total Supply
Pop Art Dweebs,1,0,3,0.2,3,0.5,42,100
Adam Priester,1,0,0.7,0.2,2,0.4,42,282
Potions (for Adventures),1,0,1.3,0.3,1,0.3,42,79
3DVoxelPunks,1,0,1,0.2,1,0.2,42,100
cornDOGES,1,0,2.9,0.1,2,0.1,42,69
ONE KYOTO,1,0,0.5,0.1,1,0.1,42,223
Particle Stories,1,0,22.2,0,2,0.1,42,9
Alisha Anglin Art,1,0,1,0.1,1,0.1,42,100
69Toadz,1,0,2.9,0,2,0.1,42,69
Emeejis,1,0,1.3,0,3,0.1,42,230
Nathan Bauman - Hidden In Plain Sight Air Drop Collection,1,0,50,0.1,1,0.1,42,2
BlockMagic Skills,1,0,0.6,0.1,1,0.1,42,176
Simpz Ex Machima,1,0,1.4,0.1,1,0.1,42,74
Astraglade-v0,1,0,2.3,0.1,1,0.1,42,43
Fortuitous Five,1,0,2,0.1,1,0.1,42,50
Cryptureverse,1,0,2,0,2,0.1,42,101
LOLPunks,1,0,0.8,0,1,0,42,120
My Inner Tree,1,0,3.5,0,1,0,42,29
FuckingCovid,1,0,1.5,0,1,0,42,67
FlippedPhilip,1,0,,0,1,0,42,1
MintMe,1,0,0.8,0,1,0,42,130
Clubcat NFT,1,0,0.5,0,2,0,42,404
Vhils,1,0,0.2,0.8,2,1.5,41,983
ONY by Shvembldr,1,0,2,1,1,1,41,50
Dirk Just Do It,1,0,,0.6,1,0.6,41,1
Future Art Access All Art Pass (Golden Key Edition),1,0,1.5,0.5,1,0.5,41,69
Mad Pups,1,0,0.1,0.1,2,0.3,41,"2,748"
Frankie Sutera - Southwest Wonders - A Collection of 50 Southwest Landscape Photos,1,0,2,0.3,1,0.3,41,50
Brian Morris : Motor Head Collection,1,0,50,0.1,3,0.2,41,6
Zanzibar's Kids - Alexandru Chitu,1,0,2,0.2,1,0.2,41,50
Intergalactic Skeles,1,0,1.5,0,1,0,41,67
The Crypto Genius,1,0,1.1,0,1,0,41,90
X-ERROR,1,0,1.4,0,1,0,41,71
FrungFring,1,0,2,0,2,0,41,99
007 Bond Soiree,1,0,2.4,0,1,0,41,42
TheFlip,1,0,,0,1,0,41,1
Eulerbeat Dreams Coverart & Mp3,1,0,,0,1,0,41,1
ACK Unique Editions / 1 of 1's,1,0,1.8,20,1,20,40,56
the_coin by Takens Theorem,1,0,4.8,1.5,4,6,40,84
Moments: Around The World,1,0,1.7,2.4,1,2.4,40,60
Circles of Circles,1,0,2,1.5,1,1.5,40,51
Generation: Habibi Mint Pass,1,0,33.3,1,1,1,40,3
FOTO Vault,1,0,5.1,0.1,4,0.5,40,79
Pulghas Genesis,1,0,16.7,0.2,1,0.2,40,6
Crypto Sushis,1,0,4.9,0.1,2,0.2,40,41
Tinta,1,0,4,0.1,2,0.2,40,50
Not Baldessari,1,0,4.2,0.1,1,0.1,40,24
Loans0x: F.Y.Eye,1,0,1.5,0,1,0,40,69
FingerPunks,1,0,2,0,1,0,40,50
EtherRock Punks,1,0,1,0,1,0,40,100
LukasNicolino (fundraising for malnourished children collection),1,0,,0,1,0,40,1
AstroCompanions,1,0,1.2,0,1,0,40,84
Frenly Robitz (Series A),1,0,1.2,0,1,0,40,84
Cool Cocks NFT,1,0,4,0,1,0,40,25
Green World by Chad Torkelsen,1,0,11.7,0.4,7,2.8,39,60
Bored Apes CIub OfficiaI,1,0,20,0,12,0.5,39,60
ChibiKaiju,1,0,5.1,0,13,0.5,39,255
IamWoman,1,0,1.6,0.5,1,0.5,39,61
LAST FUCKING WORDS,1,0,3,0.2,2,0.4,39,66
Lumberland,1,0,2,0.4,1,0.4,39,50
Bearofchris,1,0,3.4,0.1,3,0.3,39,89
BOiDs V2,1,0,4.4,0.1,2,0.2,39,45
Raptographer & Friends Collection 001,1,0,20,0.1,2,0.2,39,10
Liquids 1/1,1,0,0.9,0.1,1,0.1,39,113
Big Naza,1,0,15,0,3,0.1,39,20
Cyano Art Collection by Jimi Albert,1,0,5,0,5,0.1,39,101
PunkFriends,1,0,0.9,0.1,1,0.1,39,118
skateboard cat,1,0,4,0,4,0,39,99
PhilipPhunks,1,0,2,0,2,0,39,101
Crypto Shit Club,1,0,0.3,0,1,0,39,311
Collector's Emblem V3,1,0,3.3,0,2,0,39,61
DOS-Apes,1,0,1.7,0,1,0,39,58
Holey People,1,0,6.7,1,5,5,38,75
World Wonders By Jacob Riglin,1,0,2,3.5,1,3.5,38,50
Frank Ape - Frank Friends - Series 1,1,0,2,1.7,1,1.7,38,50
V83SEL,1,0,8.3,1.6,1,1.6,38,12
Creations By Aaron Ricketts,1,0,2.5,1,1,1,38,40
100 Calaveritas,1,0,5.5,0.1,5,0.4,38,91
Criss Cross,1,0,0.5,0.4,1,0.4,38,220
Ice Cream Cats Parlor,1,0,1.4,0.1,2,0.1,38,148
909 Original Tracks,1,0,57.1,0,4,0.1,38,7
Fantasy Future Collection,1,0,1.5,0.1,1,0.1,38,66
Alphabet of Flow,1,0,2.7,0.1,1,0.1,38,37
Glyph Pets,1,0,1.4,0,1,0,38,71
Samba Crypto AI,1,0,0,0,1,0,38,"10,134"
The Panther NFTs,1,0,0.9,0,1,0,38,117
Balloon Knots,1,0,1.5,0,1,0,38,69
CopyCats,1,0,1,0,1,0,38,102
Boonieville,1,0,0.6,0,1,0,38,165
NOMADA,1,0,5.2,1,5,5,37,96
X-Consoles by 0xnft,1,0,0.1,4.1,1,4.1,37,"1,000"
EVOLCouture,1,0,20,1.2,1,1.2,37,5
Moon In Motion,1,0,33.3,0.4,2,0.8,37,6
Elements of Iceland,1,0,8.9,0.1,4,0.4,37,45
Intrepid Falls,1,0,1.5,0.3,1,0.3,37,66
Peeps!,1,0,4.4,0.1,2,0.3,37,45
Emotion Monsters,1,0,2.4,0.2,1,0.2,37,41
Lucky Tiger NFT,1,0,2.2,0.1,2,0.2,37,92
Bard's Freaky Faces,1,0,2,0.2,1,0.2,37,50
GangsterGoose-NFT,1,0,3.3,0.1,2,0.2,37,61
Minimals by VivianeG,1,0,2.3,0.1,1,0.1,37,44
CUBANDOGE by Satoshis Mom,1,0,1,0.1,1,0.1,37,105
NEONFLUFS Official,1,0,0.7,0.1,1,0.1,37,150
JIGGY BUG : 100 Kong Bots,1,0,2.9,0,2,0.1,37,68
Behind the Moments: Around the World,1,0,1.7,0.1,1,0.1,37,60
The World of Mariana Martins,1,0,5.9,0.1,1,0.1,37,17
jencaywood,1,0,2,0.1,1,0.1,37,49
LosPapertoys,1,0,1,0.1,1,0.1,37,100
The Little Pigs,1,0,0.5,0,1,0,37,224
Jurjak @ Unspoken Thoughts,1,0,2.6,0,1,0,37,38
Apocalypse Guys,1,0,0.8,0,1,0,37,120
GreyBae,1,0,1.9,0,1,0,37,53
Pixel Sports Legends,1,0,1.9,0,1,0,37,52
Experiences by Laith Safa,1,0,18,1.6,9,14.1,36,50
Habibis,1,0,1.8,3.5,1,3.5,36,56
Colincirca,1,0,2.2,2,1,2,36,45
blank_cards,1,0,,1,1,1,36,1
Kajino,1,0,0.9,0.8,1,0.8,36,108
DOS TRASH,1,0,1.3,0.7,1,0.7,36,80
CryptoCubes & Creators,1,0,0.4,0.7,1,0.7,36,265
Ignite the Night,1,0,2,0.6,1,0.6,36,50
Hip Hop Cards,1,0,3.3,0.5,1,0.5,36,30
Shadow Monkey Box,1,0,1.9,0.4,1,0.4,36,54
Non Fungible Tulips,1,0,0.8,0.3,1,0.3,36,120
Cry Baby Gang,1,0,2.5,0.2,1,0.2,36,40
Wonder Folk,1,0,1.9,0.1,2,0.2,36,106
BLOOM // abstract art by alex maceda,1,0,6.3,0.1,1,0.1,36,16
Embodiment of Community,1,0,2.3,0.1,1,0.1,36,44
Monet Masks,1,0,1.6,0.1,1,0.1,36,64
BlissOfArtAI,1,0,3,0,3,0.1,36,100
Proof of Sanity,1,0,25,0.1,1,0.1,36,4
thebestfeelingever,1,0,,0,1,0,36,1
Elusive,1,0,2,0,1,0,36,50
Frozen Temple,1,0,0.9,0,1,0,36,108
overonehundred,1,0,0.2,0,1,0,36,427
CryptoCheems,1,0,2,2,1,2,35,50
LazyDoges,1,0,19.7,0.1,14,1.8,35,71
FACA Board of Advisors,1,0,2.6,0.5,1,0.5,35,39
Crypto Axe,1,0,30,0,3,0.1,35,10
Compounds,1,0,1.4,0,2,0,35,144
Quanta Captures,1,0,1,0,1,0,35,100
Horny Hogs,1,0,1.5,0,1,0,35,65
Lil Bev,1,0,8.7,0,16,0,35,184
The Infinite Machine,1,0,2.6,0,1,0,35,38
Bit Sneakers 2.0,1,0,0.4,0,1,0,35,236
Dogface Collection,1,0,12.8,2.2,6,13.2,34,47
Golden Token Crypto New Yorkers,1,0,0.1,9,1,9,34,837
HPPR CRYPT,1,0,2.9,8.8,1,8.8,34,34
The Roundies Originals,1,0,2.9,5,1,5,34,35
Beacon Book Crowdfund NFT,1,0,2.9,0.9,1,0.9,34,34
Latent Places,1,0,16.7,0.1,10,0.9,34,60
Alien Sceneries,1,0,6.3,0.2,5,0.8,34,80
cryptoPOM,1,0,5.9,0.4,2,0.7,34,34
CITY BLOCKS by COOPER RAY,1,0,2.3,0.6,1,0.6,34,44
Prime NFT Bot Licenses,1,0,2.6,0.5,1,0.5,34,39
Bay Beginnings,1,0,6,0.2,3,0.4,34,50
Sockys,1,0,3.3,0.2,2,0.3,34,60
Kaiju Goons,1,0,2.6,0.1,3,0.3,34,116
oscillations by desultor,1,0,2,0.3,1,0.3,34,50
XWAVE Forever,1,0,2.8,0.1,2,0.2,34,72
Becks Collection,1,0,33.3,0.2,1,0.2,34,3
Holding a Cat,1,0,1.8,0.1,1,0.1,34,55
Loot Visions,1,0,1.7,0.1,2,0.1,34,117
VoxBob,1,0,5.8,0,3,0.1,34,52
Zen's Kaleidoscopia,1,0,14.3,0.1,1,0.1,34,7
Humans of Past (H.O.P),1,0,1.8,0.1,1,0.1,34,56
[LMUB] little monster under bed,1,0,3.6,0,2,0,34,55
Guardian Collection,1,0,16.7,0,1,0,34,6
STARBOYY,1,0,1.9,0,1,0,34,53
Fan Futures,1,0,3.1,0,1,0,34,32
Tommy Taw,1,0,33.3,0,1,0,34,3
Duckpics,1,0,1,0,1,0,34,101
RUUMZ Xclusive,1,0,2.4,0.5,1,0.5,33,41
Hamstarz - Genesis,1,0,4,0.1,5,0.4,33,126
stuz0r,1,0,0.4,0.3,1,0.3,33,278
NuCLK Genesis,1,0,2.5,0.2,1,0.2,33,40
Deodand: How to Do Things With Legal Scholarship,1,0,2.1,0.2,1,0.2,33,47
Obey the Cube,1,0,3.1,0.1,2,0.1,33,65
PixelBix,1,0,3.9,0.1,1,0.1,33,26
Rewards Collection,1,0,,0.1,1,0.1,33,1
Charming flowers,1,0,1.7,0,1,0,33,58
Crypto Ducks,1,0,2,0,1,0,33,49
real shapes,1,0,1.7,0,1,0,33,60
CryptoChess - Chessmasters,1,0,0.8,0,1,0,33,125
Out of Office Mural Tour '21,1,0,4.2,0,1,0,33,24
Parameters (for Functions),1,0,1.3,0,1,0,33,79
Most Common Words,1,0,0,0,1,0,33,"25,152"
DirtyBusiness,1,0,5.1,0,3,0,33,59
Right Click Shave,1,0,2.8,0,1,0,33,36
When you buy this video the price goes up.,1,0,2.6,0,1,0,33,39
RUN3S,1,0,2,0,1,0,33,50
CDFC,1,0,1,0,1,0,33,104
Feral File #001 - Social Codes,1,0,2.7,2,3,6,32,110
Enriched with death,1,0,7.7,1,2,2,32,26
Kanati,1,0,3.3,0.6,2,1.2,32,61
Signalnoise GM,1,0,2.9,1,1,1,32,34
Pasta - The Genesis Edition,1,0,0.2,1,1,1,32,450
GuldenGorillas,1,0,1.6,1,1,1,32,61
Hexelz,1,0,3.1,0.9,1,0.9,32,32
SEC No-Action Letter Request 3: Securitized NFTs,1,0,2,0.7,1,0.7,32,50
Scamart SKulls,1,0,10,0.1,5,0.6,32,50
13,1,0,2.9,0.5,1,0.5,32,35
Alex Qian - Creative Evolutions - Collection of 50 Unique Adventures,1,0,4,0.2,2,0.4,32,50
Undercover by artplusbrad,1,0,4.4,0.2,2,0.4,32,46
Luna's Wonderland,1,0,10,0.2,1,0.2,32,10
Larva Cats,1,0,7.6,0,10,0.2,32,132
"generative landscapes, 2001-2006",1,0,1.9,0.2,1,0.2,32,52
Forest Musings,1,0,50,0.2,1,0.2,32,2
Panoramic Portraits Airdrops Raffles,1,0,50,0.2,1,0.2,32,2
Pepe Toys,1,0,33.3,0.1,3,0.2,32,9
Furry Faced Fellas,1,0,2.2,0.1,1,0.1,32,46
"Sean Bonner's ""Don't Go Outside""",1,0,11.1,0.1,1,0.1,32,9
The Skvll Artifacts,1,0,20,0.1,1,0.1,32,5
PARA KINGDOM SHOP,1,0,3.3,0.1,2,0.1,32,60
Meltwater Champions Chess Tour 2021,1,0,3.3,0,1,0,32,30
Bit Doggos,1,0,0.5,0,1,0,32,200
Robo Tribe,1,0,1.7,0,1,0,32,59
Tickets and Chests,1,0,17.9,0,5,0,32,28
Bored Ape Charts - Season 1,1,0,14.3,0,1,0,32,7
Sporo Rabbits,1,0,1.3,0,1,0,32,79
Fas Food Cats,1,0,1,0,1,0,32,99
PaintWarps Infinitive Collection,1,0,0.3,0,1,0,32,333
Sneaky Vampire Syndicate Honoraries,1,0,3.2,3.5,1,3.5,31,31
SKUL.,1,0,4.4,1.2,2,2.4,31,45
"The Fall of The Giant , Fine Art Print Collection by Gianni Lee",1,0,25,1.7,1,1.7,31,4
SHEZ PEIISM VOL. 1,1,0,3.2,1.4,1,1.4,31,31
PLAYBOY x Slimesunday Liquid Summer,1,0,0.5,1.3,1,1.3,31,195
OK GUYS,1,0,2.9,1.3,1,1.3,31,35
The Token by L3xc,1,0,1.6,1,1,1,31,61
Spirals by Dave Yang,1,0,2.6,0.4,1,0.4,31,38
GiantPunks,1,0,6.8,0.1,4,0.4,31,59
Above Us Only Sky by Dipanjan Pal,1,0,2.5,0.4,1,0.4,31,40
OtherFaces,1,0,3,0.1,2,0.2,31,67
Mecha World,1,0,18.2,0.1,2,0.1,31,11
XCOPIED,1,0,2.2,0,1,0,31,46
FUTURE PORTRAIT,1,0,5.6,0,2,0,31,36
FCKNFTs,1,0,,0,1,0,31,1
24 Pixel Saloon,1,0,6,0,3,0,31,50
Arcus by Rik Oostenbroek,1,0,2.5,26,1,26,30,40
YFI,1,0,16.7,3,2,6,30,12
SODAS,1,0,13.5,0.5,5,2.5,30,37
LeeRunners,1,0,4.9,1,2,2,30,41
Ebb and Flow Collector's Editions,1,0,4.8,0.4,2,0.8,30,42
Everything Audio by 3LAU,1,0,0.6,0.6,1,0.6,30,174
Smol Winged Turtlez,1,0,11.2,0.1,10,0.5,30,89
wgm_v,1,0,2.9,0.5,1,0.5,30,34
INSTITUT,1,0,1.2,0.5,1,0.5,30,84
Windows: A Polaroid Series,1,0,3.1,0.2,2,0.5,30,64
0xmons x RPTC Collab 1,1,0,,0.4,1,0.4,30,1
Pokeys,1,0,2.5,0.4,1,0.4,30,40
Carl Cox Live by Hipworth x Carl Cox,1,0,0.6,0.4,1,0.4,30,178
Securities Art LLC Non-Fungible Token Bond V3,1,0,2.5,0.4,1,0.4,30,40
Goldies V1,1,0,2,0.3,1,0.3,30,50
ericjon23 - LA Compilation,1,0,9.8,0.1,4,0.2,30,41
xHeadz,1,0,7,0,4,0.2,30,57
The Mop'eds,1,0,1,0.1,1,0.1,30,101
Space by Ranxdeer,1,0,20,0.1,2,0.1,30,10
How We Grow,1,0,2.4,0.1,1,0.1,30,42
Nth Planet,1,0,5.4,0,3,0.1,30,56
Nifty Pops,1,0,2.3,0.1,1,0.1,30,43
horse head  - Badcomic,1,0,6.4,0,3,0,30,47
FFERRA Collection,1,0,6.7,0,1,0,30,15
The BLORP,1,0,8.3,0,1,0,30,12
Animal world*,1,0,2.8,0,1,0,30,36
Dumpling Gang,1,0,2.6,0,1,0,30,38
liberations,1,0,9.1,0,1,0,30,11
3D EtherRock,1,0,1,0,1,0,30,100
Pastel Toads,1,0,4.1,0,2,0,30,49
BattleRoyaleMintPass,1,0,3.3,0,1,0,30,30
Bored Apes | Derivative Art,1,0,3.3,0,1,0,30,30
Club 3Doodz,1,0,3.3,50,1,50,29,30
Bills Bills Bills,1,0,2.8,25,1,25,29,36
OG Cozy Frens,1,0,13.5,1.9,10,18.5,29,74
Illiquid,1,0,6.7,0.3,4,1.3,29,60
"No Strings Attached, by Erick Hercules",1,0,6.3,0.4,3,1.2,29,48
OBSESSED with World of Women,1,0,6.1,0.3,3,0.8,29,49
SteadyBreaks,1,0,2.3,0.5,1,0.5,29,44
Thank You Drops,1,0,,0.5,1,0.5,29,1
Windows Companions,1,0,3.4,0.2,2,0.4,29,59
TRASHPUNKS V2,1,0,0.3,0.2,2,0.4,29,620
"""Cuba"" A place that stole my heart",1,0,3.3,0.3,1,0.3,29,30
A Day in Asia,1,0,6,0,7,0.3,29,117
Michael Kagan,1,0,0.2,0.2,1,0.2,29,437
NFTcubaART,1,0,,0.1,1,0.1,29,1
RTFKT - MNTLH (OFFICIAL),1,0,3.2,0.1,1,0.1,29,31
Robbie Trevino - the return,1,0,0.5,0.1,1,0.1,29,212
SeaMugz,1,0,2.5,0.1,1,0.1,29,40
Wheres my mind.,1,0,2,0.1,1,0.1,29,51
MoonTurtleNFT,1,0,2.6,0,1,0,29,38
HOOMAN'S LUXURY COLLECTIONS,1,0,0.1,0,1,0,29,"1,044"
Art of the Himalayas,1,0,5.3,0,1,0,29,19
AKKARA1,1,0,1.1,0,1,0,29,90
StatuetteArt,1,0,,0,1,0,29,1
FINIMIZE x Ruslan Vyaltsev,1,0,,0,1,0,29,1
A Man with No Mask,1,0,,0,1,0,29,1
Litquidity,1,0,4.8,68.9,4,275.6,28,83
DeLorean's 40th Anniversary NFT Collection,1,0,7.1,1.4,3,4.2,28,42
PURE PATAGONIA,1,0,10,0.6,4,2.3,28,40
SPHYNX Cats Collection,1,0,5.3,1,2,2,28,38
Nether X Numerals,1,0,66.7,0.1,6,0.4,28,9
BrittanyPierreVisuals Collection,1,0,7.1,0.3,1,0.3,28,14
Flight Club : An Aerial Experience by Misshattan,1,0,3.3,0.3,1,0.3,28,30
Afro Portraits,1,0,25,0.3,1,0.3,28,4
REDsistance Avatars,1,0,2.4,0.2,1,0.2,28,41
By Accident,1,0,4.8,0.1,1,0.1,28,21
Fantastic Ordinary Day V2,1,0,3.7,0.1,1,0.1,28,27
Hxringverse,1,0,2,0,2,0.1,28,100
Kongz Citadel,1,0,1.5,0,1,0,28,69
Monster Worlds,1,0,2.1,0,1,0,28,48
100 Grumpy Animals by Beast Flaps,1,0,2,0,2,0,28,100
Bootleg Blitmap,1,0,1.8,0,1,0,28,55
Have a Heart,1,0,7.7,0,1,0,28,13
Fast Food Doge,1,0,0.3,0,1,0,28,330
Rebellion project,1,0,2.1,0,1,0,28,47
Ansible's Arcade,1,0,6.1,0,2,0,28,33
Embryonic NFT,1,0,5.5,0,4,0,28,73
Bildr Holder Pass - Edition 1,1,0,2.1,0,1,0,28,47
MagicMarbles,1,0,1.8,0,1,0,28,55
Bucket List SEA-BAJA,1,0,,0,1,0,28,1
SRSC Raffle Tickets,1,0,,0,1,0,28,1
Yearn Family 1,1,0,3.1,110,1,110,27,32
NFTNoFriends,1,0,3.7,69.7,1,69.7,27,27
Register Art,1,0,4.2,1,2,2,27,48
Rare Pepe Figures,1,0,18.2,0.9,2,1.8,27,11
Ludicrous Face Lifting Exercises Drawing by Alotta Money,1,0,0.8,1.4,1,1.4,27,132
THE5 - DrDBLN,1,0,50,0.7,2,1.3,27,4
Scrazyone,1,0,2,0.5,1,0.5,27,51
DegenerateZoo,1,0,1.4,0.5,1,0.5,27,74
Steam Cells,1,0,4,0.2,2,0.4,27,50
DEVOID COLLECTION,1,0,12.3,0,7,0.3,27,57
Cocktails 101,1,0,4.6,0.1,3,0.2,27,65
Beauty in Dreamland,1,0,6,0,5,0.2,27,83
The Fucking Game,1,0,33.3,0.1,2,0.2,27,6
Digital_Heritage_Cartagena,1,0,3.9,0.1,2,0.2,27,51
3D BASTARD PUNKS,1,0,3.6,0.1,2,0.2,27,55
The Anesidora Group,1,0,2.9,0.2,1,0.2,27,34
Ethereal Scapes,1,0,4.9,0.1,3,0.2,27,61
Secret Folder,1,0,40,0.1,2,0.1,27,5
NFLips Mint Passes,1,0,3.7,0.1,1,0.1,27,27
understood,1,0,2.3,0.1,1,0.1,27,44
Shadow ladies,1,0,9.1,0.1,1,0.1,27,11
VP - OLD MINT,1,0,1.3,0,1,0,27,76
Panda Pro,1,0,1,0,1,0,27,100
The Dot - TDOT,1,0,2.6,0,1,0,27,38
Astro Chromatica,1,0,6.5,0,2,0,27,31
Buckets Whales,1,0,3.5,0,1,0,27,29
CLASSIFIED | Holly Herndon,1,0,2.6,0,1,0,27,39
noun poems,1,0,2.4,5,1,5,26,41
Jenisu,1,0,1.1,4.2,1,4.2,26,95
NOMAD - Samantha Cavet,1,0,3.7,1.9,1,1.9,26,27
If thats what you call love,1,0,3.2,1.8,1,1.8,26,31
function draw(),1,0,4.2,0.8,2,1.6,26,48
monochrome minimals,1,0,8.8,0.5,3,1.5,26,34
ArcadiaParkPerpetualAdmission,1,0,3.3,0.8,1,0.8,26,30
Radical Captures,1,0,50,0.7,1,0.7,26,2
Rob Secades,1,0,1.7,0.6,1,0.6,26,60
Doodles Derivatives,1,0,3.5,0.5,1,0.5,26,29
Modern Renaissance Frens,1,0,,0.2,2,0.4,26,2
CryptoHairballs,1,0,1.1,0,11,0.2,26,993
Coloring Emotion,1,0,5.7,0.1,2,0.2,26,35
Fernweh by oliveskin,1,0,2.7,0.2,1,0.2,26,37
"""Cuba"" Collector's Appreciation Edition.",1,0,3.6,0.1,1,0.1,26,28
Journey Into The Void,1,0,2,0.1,1,0.1,26,50
F.e._MutAnts_2022,1,0,1.5,0.1,1,0.1,26,69
Flower Postcards,1,0,3.6,0.1,1,0.1,26,28
Punk Crushers,1,0,1,0.1,1,0.1,26,96
Name and Shame (by Violently Cute),1,0,3.1,0.1,1,0.1,26,32
Crypto Coins,1,0,2.9,0.1,1,0.1,26,35
The Cybernetics,1,0,2,0.1,1,0.1,26,50
Hell Assassin,1,0,2.4,0,1,0,26,41
H01dEm - Test Series,1,0,1.2,0,1,0,26,81
DeFi Pizza,1,0,2.2,0,1,0,26,46
3D Cool Cats by Marcos Grijalva,1,0,5.7,0,2,0,26,35
Open Coordinates,1,0,5.4,0,2,0,26,37
Dance in the Darkness by Jessica Artemisia,1,0,3.7,0,1,0,26,27
Postdigital Metafesto,1,0,3.6,0,1,0,26,28
Perks for Adventurers,1,0,2.3,0,1,0,26,43
ClippyPunks,1,0,2,0,1,0,26,50
Aging NFT,1,0,2.8,90,1,90,25,36
Salt & Satoshi - Genesis Salt Season,1,0,5,3.5,2,7,25,40
"The Waq Waq Island Manuscript Jason Seife Capstone ""Al Shajara""",1,0,4,3,1,3,25,25
DiGiTAL Collectibles,1,0,2.6,3,1,3,25,39
Ge(N)erated,1,0,6.1,0.7,3,2.1,25,49
Mail Room by Vinnie Hager,1,0,50,2,1,2,25,2
Glimpses of Existence,1,0,2.9,1.1,1,1.1,25,35
Hidden Society,1,0,50,1,1,1,25,2
DRAMA MUSIC,1,0,4,0.6,1,0.6,25,25
Giraffage,1,0,4,0.4,1,0.4,25,25
Cannot be Blank,1,0,5.1,0.1,2,0.3,25,39
KILO KISH,1,0,4,0.3,1,0.3,25,25
No Feeling Is Final by Natthaya Thaidecha,1,0,3.3,0.2,1,0.2,25,30
Frankenbae,1,0,6.5,0.1,2,0.2,25,31
Bellow,1,0,2.8,0.1,2,0.1,25,71
Artist Liberation Front-Artolin,1,0,2.4,0.1,1,0.1,25,41
Flipblit,1,0,11.1,0.1,2,0.1,25,18
3D Masks,1,0,2.2,0.1,1,0.1,25,46
Humble Cubicles,1,0,1,0.1,1,0.1,25,100
18-Apr,1,0,3.2,0.1,1,0.1,25,31
Loot(wear),1,0,2.9,0.1,1,0.1,25,35
Planisphere,1,0,2,0.1,1,0.1,25,49
ShodoCrypts,1,0,2.9,0,1,0,25,34
Galaxy Metaverse,1,0,0,0,1,0,25,"10,000"
Plaster People.,1,0,1.8,0,1,0,25,56
Flowskull Fantazy,1,0,2.3,0,1,0,25,44
Jellyhungry,1,0,3.1,0,3,0,25,96
"""A NEW DAWN"" IOTA Collection",1,0,1,0,1,0,25,99
The Haas Brothers,1,0,16.1,0,5,0,25,31
Satisfy Digital Collectibles,1,0,4.4,0,1,0,25,23
elfDAO NFT,1,0,4,0,1,0,25,25
FOMO World Official,1,0,2.7,0,1,0,25,37
AlphaBetty Legends,1,0,4.2,100,1,100,24,24
RNSNC Platinum Key,1,0,,17,1,17,24,1
Allan Kingdom,1,0,4,3,1,3,24,25
MANY FACE TA$H.,1,0,3.3,3,1,3,24,30
Strawberry Spiced Genesis Collection,1,0,14.3,0.5,6,3,24,42
Joy of discovery,1,0,4,2,1,2,24,25
Sophia the AI robot x Andrea Bonaceto,1,0,0.3,2,1,2,24,370
Grady,1,0,4,1.5,1,1.5,24,25
Lisa Fogarty,1,0,3.7,0.9,1,0.9,24,27
Complimentary Co-Existence,1,0,35.9,0,28,0.8,24,78
CHROMA5,1,0,3.9,0.4,2,0.8,24,51
CONTAMINATED - The Chernobyl Exclusion Zone Collection,1,0,2.6,0.6,1,0.6,24,39
Phases Of The Moon | The Official Collection,1,0,3.5,0.5,1,0.5,24,29
Marshawn Lynch DODI Blunts,1,0,1.2,0.4,1,0.4,24,85
Complicit,1,0,1.8,0.4,1,0.4,24,55
MoodyLuchos,1,0,0.1,0.2,2,0.4,24,"2,231"
Wen Lambo NFTs,1,0,4.7,0.1,5,0.4,24,107
johnwingfield,1,0,3.6,0.4,1,0.4,24,28
Dune: The Collection,1,0,10,0.1,3,0.3,24,30
Pauline Herr,1,0,4,0.2,1,0.2,24,25
Dune: Alternate Takes,1,0,10,0.1,3,0.2,24,30
Ryan Bates Editions,1,0,,0.2,1,0.2,24,1
MetaCrons,1,0,50,0.1,1,0.1,24,2
Naxeesi World,1,0,50,0.1,1,0.1,24,2
The Silhouettes,1,0,5,0.1,1,0.1,24,20
Voodoo Salad collaborations,1,0,,0.1,1,0.1,24,1
Running Against Sadness,1,0,3.5,0.1,1,0.1,24,29
BAPC Airdrops,1,0,,0.1,1,0.1,24,1
Kidrobot Zodiac,1,0,12.5,0,2,0,24,16
Aeturnus,1,0,2.4,0,1,0,24,41
AI Art Animations - 4K 60 FPS,1,0,1.7,0,1,0,24,59
BatGAN,1,0,0.5,0,1,0,24,223
Fritz Verse,1,0,0.2,0,1,0,24,460
ZERO Origins,1,0,7.7,0,1,0,24,13
CryptoZebra,1,0,1.2,0,1,0,24,84
BLCNYdeed,1,0,4.2,0,1,0,24,24
Nouns Jump,1,0,1.9,0,1,0,24,52
dubtags,1,0,0,0,1,0,24,"17,296"
Pinco Generations,1,0,1.8,100,1,100,23,57
Citizen of Citadel,1,0,3.2,7,1,7,23,31
Dirt S1 Holo,1,0,4,5,1,5,23,25
Portrait Studio by Daniel Gordon,1,0,5.6,1.5,2,3,23,36
Art by Tas,1,0,7.1,1.5,1,1.5,23,14
9021 - Les Generatives & Fine Arts,1,0,12.2,0.2,5,1.2,23,41
Bodega Cat Club,1,0,3.3,1,1,1,23,30
camoufly,1,0,4,1,1,1,23,25
TOMI MUSIC,1,0,4,1,1,1,23,25
Zanzibar's Kids Derivatives Airdrop,1,0,4.2,0.6,1,0.6,23,24
Urmia Lake,1,0,3.3,0.6,1,0.6,23,30
